 	BX	BY	Width	Height
1	100	162	58	50
2	80	287	51	38
3	451	96	60	41
4	513	6	46	31
5	744	6	169	153
6	1029	137	84	107
7	935	341	43	46
8	696	306	96	48
9	1075	290	41	38
10	333	215	54	33
11	511	549	258	147
12	728	494	62	44
13	863	476	113	137
14	524	408	48	46
15	239	876	94	84
16	448	798	277	231
17	562	1214	115	103
18	696	1072	59	62
19	807	1139	51	46
20	862	1236	41	36
21	836	1319	54	44
22	983	1384	51	37
23	941	776	89	86
24	1065	852	42	40
25	825	690	46	41
26	248	634	59	44
27	18	760	47	39
28	14	858	58	63
29	115	871	65	43
30	233	1134	55	45
31	346	1102	66	54
32	463	1169	55	45
33	81	1260	45	27
34	983	1019	49	35
35	1065	943	39	46
