 	BX	BY	Width	Height
1	7	40	85	57
2	191	0	69	49
3	943	0	73	43
4	620	43	79	66
5	359	29	73	68
6	267	52	116	103
7	123	103	73	70
8	136	315	113	85
9	257	415	66	64
10	693	216	160	155
11	943	384	73	64
12	844	535	176	178
13	933	967	76	57
14	555	871	70	76
15	11	844	101	111
16	65	579	132	118
17	267	527	73	62
18	287	576	122	167
19	431	387	158	168
20	488	808	64	63
21	311	929	78	66
22	625	533	62	64
23	608	637	59	55
24	628	711	73	42
25	737	743	51	50
26	953	835	59	56
27	687	943	57	53
28	757	965	42	43
29	349	275	86	77
30	611	319	52	40
31	336	863	41	40
32	0	211	31	52
33	648	113	73	67
34	587	240	62	57
35	541	156	56	53
36	376	148	57	64
37	799	0	73	51
38	253	789	66	68
