 	BX	BY	Width	Height
1	0	0	40	62
2	398	2	136	50
3	318	80	72	68
4	694	124	122	106
5	318	406	68	58
6	398	346	66	58
7	26	478	76	74
8	118	586	70	66
9	14	782	84	88
10	0	958	86	66
11	238	998	56	26
12	452	962	66	62
13	728	910	62	64
14	858	948	58	58
15	830	782	126	82
16	710	756	72	70
17	964	706	60	98
18	436	598	118	80
19	654	596	62	74
20	606	470	72	62
21	782	278	76	72
22	962	330	62	86
23	794	426	84	138
24	286	798	78	56
25	46	664	60	70
26	1002	24	22	110
27	550	316	66	50
28	320	208	78	60
29	372	174	68	64
30	528	86	52	48
31	630	274	60	56
