 	BX	BY	Width	Height
1	76	1	77	65
2	0	14	31	40
3	355	63	46	44
4	444	89	39	41
5	398	128	23	35
6	410	159	49	55
7	487	171	29	33
8	10	142	41	44
9	65	103	41	42
10	145	110	38	39
11	179	97	38	43
12	183	179	34	37
13	233	171	30	36
14	0	243	17	36
15	1	330	41	41
16	115	490	34	31
17	167	399	40	40
18	275	396	39	31
19	406	287	38	39
20	383	370	36	39
21	419	432	32	38
22	469	392	34	37
23	245	594	34	39
24	275	607	43	44
25	381	592	39	36
26	419	592	36	43
27	447	583	37	43
28	256	135	35	31
29	440	332	33	37
30	230	386	40	37
31	192	459	34	38
