 	BX	BY	Width	Height
1	102	6	120	102
2	366	0	66	69
3	477	0	163	54
4	1027	0	45	42
5	892	75	96	90
6	1045	108	135	138
7	1270	138	69	69
8	1414	39	96	96
9	1607	0	156	120
10	1901	24	60	45
11	1955	87	57	57
12	1874	159	57	63
13	1877	297	84	75
14	1742	264	84	66
15	1649	351	66	57
16	1369	168	247	255
17	1225	363	105	81
18	1132	318	63	69
19	1408	477	130	172
20	1706	495	159	88
21	1919	501	123	136
22	1883	682	120	105
23	1769	763	141	156
24	1498	757	238	204
25	1318	751	99	102
26	1312	847	105	87
27	1462	991	154	141
28	1661	967	126	102
29	1958	1045	90	105
30	1832	1114	99	153
31	1703	1114	81	84
32	1571	1177	126	102
33	1694	1210	87	105
34	1826	1303	216	259
35	1940	1661	87	87
36	1898	1862	93	84
37	1547	1970	141	78
38	1354	1943	111	105
39	1372	1580	220	231
40	1510	1372	139	123
41	805	862	240	177
42	835	1634	222	213
43	381	1261	175	171
44	360	1525	99	61
45	432	1802	82	75
46	99	1895	237	153
47	63	1796	81	96
48	30	1528	87	94
49	0	1279	93	99
50	96	1306	135	102
51	228	1210	117	132
52	117	1129	90	99
53	0	1030	153	72
54	15	820	117	81
55	255	676	96	66
56	333	763	87	60
57	291	868	60	69
58	192	925	81	45
59	210	991	87	81
60	541	703	117	147
61	18	360	198	223
62	0	192	63	90
63	90	279	105	51
64	246	156	60	54
65	483	144	109	78
66	646	291	78	63
67	739	480	66	85
68	793	616	84	66
69	853	667	87	96
70	1162	595	90	93
71	1075	429	72	85
72	324	438	126	97
73	249	354	72	60
74	423	270	75	75
75	447	363	97	90
76	589	390	90	66
77	661	144	99	90
78	775	288	57	72
79	871	267	57	81
80	973	300	66	72
81	961	390	57	84
82	901	486	84	70
83	631	538	63	84
