 	BX	BY	Width	Height
1	0	232	60	105
2	53	508	116	123
3	163	363	104	164
4	89	297	88	99
5	141	159	50	70
6	192	185	85	92
7	255	283	76	96
8	307	289	129	151
9	371	263	57	42
10	488	159	65	74
11	544	167	55	90
12	593	213	72	68
13	195	616	101	95
14	272	752	89	85
15	245	849	75	79
16	87	831	101	94
17	340	844	67	35
18	301	920	192	104
19	668	780	112	100
20	667	856	180	168
21	867	833	56	82
22	948	924	64	64
23	763	459	90	80
24	837	521	139	128
25	491	585	77	99
26	333	612	138	84
27	704	249	84	94
28	659	21	114	106
29	832	120	55	73
30	827	1	34	54
31	947	31	65	57
32	933	207	68	76
33	873	275	72	89
34	340	19	93	73
35	617	536	70	79
36	520	357	87	72
37	608	415	84	60
38	412	427	72	57
