 	BX	BY	Width	Height
1	3	153	135	354
2	81	0	84	60
3	321	9	174	138
4	225	258	192	138
5	177	387	87	93
6	426	246	121	87
7	664	0	90	57
8	616	123	69	72
9	760	48	72	126
10	703	216	66	66
11	724	330	75	60
12	718	414	78	54
13	1015	0	96	42
14	967	129	102	105
15	1099	102	93	63
16	1321	87	93	66
17	1366	0	87	33
18	1757	0	81	57
19	1919	42	72	81
20	1757	111	117	111
21	1637	210	75	75
22	1231	171	162	162
23	1063	240	99	144
24	853	267	129	129
25	961	510	78	82
26	1066	447	51	76
27	919	447	45	45
28	1450	354	130	54
29	1922	273	69	45
30	1925	402	123	90
31	1742	529	87	78
32	1754	405	93	87
33	1288	471	120	154
34	1372	658	93	57
35	1574	420	108	226
36	1763	622	153	72
37	1871	835	60	63
38	1958	892	90	105
39	1922	1018	87	78
40	1958	1150	90	168
41	1619	1222	81	90
42	1339	1123	129	99
43	1420	781	253	198
44	1183	637	96	87
45	643	489	192	139
46	234	1126	201	222
47	0	970	120	312
48	159	961	69	81
49	72	790	75	75
50	111	679	99	75
51	291	853	60	51
52	363	769	75	51
53	523	601	102	72
54	279	1423	138	157
55	444	1408	73	93
56	1195	1270	195	219
57	1913	1619	75	75
58	1967	1745	51	81
59	1757	1640	102	99
60	1661	1628	60	93
61	1477	1592	91	81
62	1547	1787	93	63
63	1682	1958	132	90
64	1219	1661	204	210
65	1006	1772	108	87
66	601	1778	78	87
67	267	1751	192	84
68	282	1838	99	69
69	315	1943	90	81
70	0	1886	57	126
71	60	1817	78	114
72	255	1640	63	69
73	66	1312	84	72
